VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
Other,Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,50 to 54,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,15 to 19,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Local,Mid-Block,Etobicoke York,No Control,Dusk,Dry,Passenger,Other,15 to 19,2006,21,43.667245,-79.54469,6,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Driver,Approaching,55 to 59,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,20 to 24,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Vehicle Owner,Cyclist Collisions,unknown,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,15 to 19,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Driver,Cyclist Collisions,45 to 49,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Passenger,Approaching,20 to 24,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Bicycle,Major Arterial,Intersection,Scarborough,Stop Sign,Daylight,Dry,Cyclist,Cyclist Collisions,30 to 34,2006,10,43.744045,-79.28349,6,2,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Vehicle Owner,Approaching,unknown,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,35 to 39,2006,14,43.648545,-79.38089,6,2,1,0,0,0,1,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,Dark,Wet,Driver,Approaching,25 to 29,2006,3,43.699595,-79.318797,1,6,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Toronto and East York,No Control,Dark,Dry,Driver,Pedestrian Collisions,unknown,2006,23,43.646145,-79.39179,8,0,1,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Rear End,50 to 54,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,14,43.648545,-79.38089,6,2,1,0,0,0,1,0,0,0,0
Municipal Transit Bus (TTC),Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,35 to 39,2006,14,43.648545,-79.38089,6,2,1,0,0,0,1,0,0,0,0
Other,Major Arterial,Intersection,Etobicoke York,Stop Sign,Daylight,Wet,Vehicle Owner,Angle,unknown,2006,17,43.691345,-79.46969,6,2,0,0,1,1,0,1,0,1,0
Truck - Open,Major Arterial,Intersection,Etobicoke York,Stop Sign,Daylight,Wet,Truck Driver,Angle,40 to 44,2006,17,43.691345,-79.46969,6,2,0,0,1,1,0,1,0,1,0
Other,Major Arterial,Intersection,Etobicoke York,Stop Sign,Daylight,Wet,Vehicle Owner,Angle,unknown,2006,17,43.691345,-79.46969,6,2,0,0,1,1,0,1,0,1,0
Other,Major Arterial,Intersection,Etobicoke York,Stop Sign,Daylight,Wet,Passenger,Angle,20 to 24,2006,17,43.691345,-79.46969,6,2,0,0,1,1,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Etobicoke York,Stop Sign,Daylight,Wet,Driver,Angle,20 to 24,2006,17,43.691345,-79.46969,6,2,0,0,1,1,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Pedestrian Collisions,unknown,2006,9,43.656345,-79.45249,3,5,1,0,1,0,0,0,0,1,1
Other,Minor Arterial,Intersection,Etobicoke York,No Control,Daylight,Dry,Vehicle Owner,Cyclist Collisions,unknown,2006,10,43.683745,-79.48249,6,3,0,1,1,0,0,0,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Etobicoke York,No Control,Daylight,Dry,Driver,Cyclist Collisions,70 to 74,2006,10,43.683745,-79.48249,6,3,0,1,1,0,0,0,0,0,0
Bicycle,Minor Arterial,Intersection,Etobicoke York,No Control,Daylight,Dry,Cyclist,Cyclist Collisions,60 to 64,2006,10,43.683745,-79.48249,6,3,0,1,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Dark,Dry,Other Property Owner,SMV Other,unknown,2006,1,43.744545,-79.29829,6,4,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Dark,Dry,Passenger,SMV Other,20 to 24,2006,1,43.744545,-79.29829,6,4,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Dark,Dry,Passenger,SMV Other,15 to 19,2006,1,43.744545,-79.29829,6,4,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Stop Sign,Dark,Dry,Vehicle Owner,SMV Other,unknown,2006,1,43.744545,-79.29829,6,4,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Stop Sign,Dark,Dry,Driver,SMV Other,20 to 24,2006,1,43.744545,-79.29829,6,4,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Passenger,Turning Movement,45 to 49,2006,9,43.758145,-79.31389,6,4,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Wet,Vehicle Owner,Pedestrian Collisions,unknown,2006,18,43.722345,-79.59789,4,2,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,Turning Movement,20 to 24,2006,9,43.758145,-79.31389,6,4,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,Turning Movement,25 to 29,2006,9,43.758145,-79.31389,6,4,0,0,1,0,0,1,0,0,0
Other,Minor Arterial,Mid-Block,North York,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,12,43.765245,-79.42519,6,4,1,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Minor Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,50 to 54,2006,12,43.765245,-79.42519,6,4,1,0,1,0,0,0,0,1,0
Other,Minor Arterial,Mid-Block,North York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,10 to 14,2006,12,43.765245,-79.42519,6,4,1,0,1,0,0,0,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2006,16,43.787345,-79.35299,7,1,0,0,1,1,0,0,0,1,0
Truck - Open,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Truck Driver,Angle,30 to 34,2006,16,43.787345,-79.35299,7,1,0,0,1,1,0,0,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2006,16,43.787345,-79.35299,7,1,0,0,1,1,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Angle,60 to 64,2006,16,43.787345,-79.35299,7,1,0,0,1,1,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,unknown,2006,18,43.602045,-79.49909,7,1,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,unknown,2006,18,43.602045,-79.49909,7,1,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Rear End,15 to 19,2006,20,43.765445,-79.19949,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Wet,Driver,Pedestrian Collisions,50 to 54,2006,10,43.763445,-79.29139,2,4,1,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Rear End,40 to 44,2006,20,43.765445,-79.19949,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Rear End,25 to 29,2006,20,43.765445,-79.19949,7,1,0,0,1,0,0,1,0,1,0
Motorcycle,Major Arterial,Intersection,North York,Stop Sign,Dark,Dry,Motorcycle Driver,Turning Movement,25 to 29,2006,21,43.764545,-79.31819,7,2,0,0,1,0,0,0,0,1,0
Other,Major Arterial,Intersection,North York,Stop Sign,Dark,Dry,Vehicle Owner,Turning Movement,unknown,2006,21,43.764545,-79.31819,7,2,0,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Stop Sign,Dark,Dry,Driver,Turning Movement,45 to 49,2006,21,43.764545,-79.31819,7,2,0,0,1,0,0,0,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Passenger,Angle,20 to 24,2006,1,43.640945,-79.38069,7,4,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,40 to 44,2006,18,43.744145,-79.40669,5,5,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Driver,Angle,25 to 29,2006,1,43.640945,-79.38069,7,4,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Passenger,Angle,25 to 29,2006,1,43.640945,-79.38069,7,4,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Driver,Angle,20 to 24,2006,1,43.640945,-79.38069,7,4,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,14,43.687645,-79.39389,7,4,1,0,0,0,1,0,0,0,0
Municipal Transit Bus (TTC),Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,35 to 39,2006,14,43.687645,-79.39389,7,4,1,0,0,0,1,0,0,0,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,75 to 79,2006,14,43.687645,-79.39389,7,4,1,0,0,0,1,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Angle,25 to 29,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Angle,5 to 9,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Angle,30 to 34,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Angle,5 to 9,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Angle,30 to 34,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Passenger,Pedestrian Collisions,10 to 14,2006,11,43.640445,-79.43729,8,1,1,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Angle,30 to 34,2006,17,43.639445,-79.38679,7,5,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,35 to 39,2006,18,43.636445,-79.39959,7,6,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,20 to 24,2006,18,43.636445,-79.39959,7,6,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,20 to 24,2006,18,43.636445,-79.39959,7,6,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2006,18,43.636445,-79.39959,7,6,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,20 to 24,2006,18,43.636445,-79.39959,7,6,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Vehicle Owner,Sideswipe,unknown,2006,13,43.605445,-79.49109,7,0,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Driver,Sideswipe,45 to 49,2006,13,43.605445,-79.49109,7,0,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Passenger,Sideswipe,70 to 74,2006,13,43.605445,-79.49109,7,0,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Driver,Sideswipe,60 to 64,2006,13,43.605445,-79.49109,7,0,0,0,1,0,0,1,0,1,0
Other,Minor Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2006,13,43.744245,-79.59539,7,0,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,25 to 29,2006,13,43.744245,-79.59539,7,0,0,0,1,0,0,1,0,0,0
Other,Minor Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,15 to 19,2006,13,43.744245,-79.59539,7,0,0,0,1,0,0,1,0,0,0
Other,Minor Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Vehicle Owner,Turning Movement,unknown,2006,13,43.744245,-79.59539,7,0,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Etobicoke York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,35 to 39,2006,13,43.744245,-79.59539,7,0,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Driver,Pedestrian Collisions,85 to 89,2006,18,43.673845,-79.28189,7,0,1,0,1,0,0,0,0,0,0
Other,Minor Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Pedestrian,Pedestrian Collisions,85 to 89,2006,18,43.673845,-79.28189,7,0,1,0,1,0,0,0,0,0,0
Other,Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,Pedestrian Collisions,55 to 59,2006,8,43.807445,-79.17039,7,1,1,0,0,0,0,0,0,1,0
Other,Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,35 to 39,2006,8,43.807445,-79.17039,7,1,1,0,0,0,0,0,0,1,0
"Automobile, Station Wagon",Local,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Driver,Cyclist Collisions,55 to 59,2006,18,43.686245,-79.43189,7,1,0,1,1,0,0,0,0,0,0
Bicycle,Local,Mid-Block,Toronto and East York,No Control,Daylight,Dry,Cyclist,Cyclist Collisions,5 to 9,2006,18,43.686245,-79.43189,7,1,0,1,1,0,0,0,0,0,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Dry,Motorcycle Passenger,Other,25 to 29,2006,2,43.643045,-79.57379,7,2,0,0,0,0,0,1,1,1,0
Motorcycle,Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Dry,Motorcycle Driver,Other,30 to 34,2006,2,43.643045,-79.57379,7,2,0,0,0,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Other,Pedestrian,Pedestrian Collisions,50 to 54,2006,16,43.758945,-79.25709,7,2,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Driver,Cyclist Collisions,45 to 49,2006,11,43.663145,-79.39269,7,3,0,1,1,0,0,0,0,0,0
Bicycle,Minor Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Cyclist,Cyclist Collisions,20 to 24,2006,11,43.663145,-79.39269,7,3,0,1,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,13,43.647845,-79.39599,7,3,1,0,0,0,1,0,0,0,0
Municipal Transit Bus (TTC),Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Pedestrian Collisions,40 to 44,2006,13,43.647845,-79.39599,7,3,1,0,0,0,1,0,0,0,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Pedestrian,Pedestrian Collisions,40 to 44,2006,13,43.647845,-79.39599,7,3,1,0,0,0,1,0,0,0,0
Other,Minor Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Vehicle Owner,Cyclist Collisions,unknown,2006,9,43.649645,-79.43139,7,4,0,1,1,0,0,0,1,1,0
"Automobile, Station Wagon",Minor Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Cyclist Collisions,20 to 24,2006,9,43.649645,-79.43139,7,4,0,1,1,0,0,0,1,1,0
Bicycle,Minor Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Cyclist,Cyclist Collisions,25 to 29,2006,9,43.649645,-79.43139,7,4,0,1,1,0,0,0,1,1,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,13,43.642845,-79.57469,7,4,1,0,0,0,1,0,0,0,0
Municipal Transit Bus (TTC),Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,35 to 39,2006,13,43.642845,-79.57469,7,4,1,0,0,0,1,0,0,0,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,60 to 64,2006,13,43.642845,-79.57469,7,4,1,0,0,0,1,0,0,0,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,40 to 44,2006,16,43.702745,-79.41739,7,4,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,35 to 39,2006,16,43.702745,-79.41739,7,4,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,55 to 59,2006,16,43.702745,-79.41739,7,4,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Passenger,Rear End,0 to 4,2006,13,43.710745,-79.37709,7,6,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Vehicle Owner,Rear End,unknown,2006,13,43.710745,-79.37709,7,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Rear End,45 to 49,2006,13,43.710745,-79.37709,7,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,North York,No Control,Daylight,Dry,Driver,Rear End,65 to 69,2006,13,43.710745,-79.37709,7,6,0,0,1,0,0,1,0,0,0
Motorcycle,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Motorcycle Driver,Angle,25 to 29,2006,20,43.646445,-79.40379,7,0,0,0,1,0,0,0,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Angle,55 to 59,2006,20,43.646445,-79.40379,7,0,0,0,1,0,0,0,1,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Rear End,35 to 39,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Rear End,40 to 44,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Rear End,50 to 54,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Rear End,50 to 54,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Passenger,Rear End,30 to 34,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Mid-Block,Toronto and East York,No Control,Dark,Dry,Pedestrian,Pedestrian Collisions,25 to 29,2006,23,43.646145,-79.39179,8,0,1,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Rear End,45 to 49,2006,10,43.752445,-79.40809,7,1,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Stop Sign,Daylight,Dry,Passenger,Pedestrian Collisions,10 to 14,2006,11,43.640445,-79.43729,8,1,1,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,No Control,"Dark, artificial",Slush,Passenger,SMV Other,10 to 14,2006,3,43.684874,-79.316188,1,6,0,0,1,0,0,1,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Dry,Driver,Pedestrian Collisions,65 to 69,2006,9,43.721145,-79.57119,8,1,1,0,1,0,0,0,0,0,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Pedestrian,Pedestrian Collisions,65 to 69,2006,9,43.656345,-79.45249,3,5,1,0,1,0,0,0,0,1,1
"Automobile, Station Wagon",Major Arterial,Intersection,North York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,25 to 29,2006,18,43.744145,-79.40669,5,5,0,0,1,0,0,1,0,0,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Wet,Pedestrian,Pedestrian Collisions,65 to 69,2006,10,43.763445,-79.29139,2,4,1,0,1,0,0,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Wet,Driver,Pedestrian Collisions,25 to 29,2006,18,43.722345,-79.59789,4,2,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Driver,Pedestrian Collisions,20 to 24,2006,22,43.658345,-79.44269,7,2,1,0,1,0,0,0,0,1,1
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Dark,Dry,Pedestrian,Pedestrian Collisions,45 to 49,2006,22,43.658345,-79.44269,7,2,1,0,1,0,0,0,0,1,1
Motorcycle,Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Motorcycle Driver,Sideswipe,40 to 44,2006,16,43.675745,-79.55709,7,3,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Daylight,Wet,Driver,Sideswipe,unknown,2006,16,43.675745,-79.55709,7,3,0,0,1,0,0,0,0,0,0
Other,Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Vehicle Owner,Pedestrian Collisions,unknown,2006,16,43.784045,-79.25269,7,3,1,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Driver,Pedestrian Collisions,30 to 34,2006,16,43.784045,-79.25269,7,3,1,0,1,0,0,0,0,0,0
Other,Minor Arterial,Mid-Block,Scarborough,No Control,Daylight,Dry,Pedestrian,Pedestrian Collisions,60 to 64,2006,16,43.784045,-79.25269,7,3,1,0,1,0,0,0,0,0,0
Other,Collector,Intersection,Toronto and East York,Stop Sign,Daylight,Wet,Vehicle Owner,Turning Movement,unknown,2006,17,43.659845,-79.49149,7,3,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Collector,Intersection,Toronto and East York,Stop Sign,Daylight,Wet,Driver,Turning Movement,30 to 34,2006,17,43.659845,-79.49149,7,3,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Collector,Intersection,Toronto and East York,Stop Sign,Daylight,Wet,Driver,Turning Movement,30 to 34,2006,17,43.659845,-79.49149,7,3,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Angle,50 to 54,2006,7,43.654545,-79.36399,7,5,0,0,1,0,1,0,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2006,7,43.654545,-79.36399,7,5,0,0,1,0,1,0,0,1,0
Municipal Transit Bus (TTC),Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Angle,40 to 44,2006,7,43.654545,-79.36399,7,5,0,0,1,0,1,0,0,1,0
"Automobile, Station Wagon",Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Dry,Driver,SMV Other,45 to 49,2006,5,43.679345,-79.57879,7,6,0,0,1,0,0,0,0,0,0
Other,Major Arterial,Mid-Block,Etobicoke York,No Control,Dark,Dry,Other Property Owner,SMV Other,unknown,2006,5,43.679345,-79.57879,7,6,0,0,1,0,0,0,0,0,0
"Automobile, Station Wagon",Major Arterial,Intersection,North York,No Control,Daylight,Wet,Driver,Pedestrian Collisions,35 to 39,2006,14,43.729145,-79.30449,7,6,1,0,1,0,0,0,0,0,1
