VEHTYPE,ROAD_CLASS,LOCCOORD,DISTRICT,TRAFFCTL,LIGHT,RDSFCOND,INVTYPE,IMPACTYPE,INVAGE,YEAR,TIME,LATITUDE,LONGITUDE,MONTH,DAY,PEDESTRIAN,CYCLIST,AUTOMOBILE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,ACCLASS
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,30 to 34,2007,15,43.657545,-79.38949,9,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Passenger,Turning Movement,35 to 39,2007,15,43.657545,-79.38949,9,5,0,0,1,0,0,1,0,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Toronto and East York,Traffic Signal,Daylight,Dry,Driver,Turning Movement,50 to 54,2007,15,43.657545,-79.38949,9,5,0,0,1,0,0,1,0,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Vehicle Owner,Angle,unknown,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,45 to 49,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,45 to 49,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,50 to 54,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,0 to 4,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
Other,Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Passenger,Angle,15 to 19,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
"Automobile, Station Wagon",Major Arterial,Intersection,Scarborough,Traffic Signal,Daylight,Dry,Driver,Angle,35 to 39,2007,16,43.836545,-79.25119,9,5,0,0,1,0,0,1,1,1,0
