VEHTYPE,ACCNUM
"Automobile, Station Wagon",923248
Other,919141
"Automobile, Station Wagon",919141
Other,919141
Other,922297
Other,922297
Other,922297
"Automobile, Station Wagon",923250
Other,923250
Other,919332
"Automobile, Station Wagon",919332
"Automobile, Station Wagon",919332
Other,919332
Other,919332
Other,919332
Other,919332
"Automobile, Station Wagon",919332
Other,919332
Other,919332
"Automobile, Station Wagon",919332
Motorcycle,925504
"Automobile, Station Wagon",925504
Other,919330
"Automobile, Station Wagon",919330
Other,919330
Other,919330
"Automobile, Station Wagon",919330
"Automobile, Station Wagon",922743
Bicycle,922743
"Automobile, Station Wagon",919641
Other,919641
"Automobile, Station Wagon",919516
Other,919516
Other,947697
Other,947697
"Automobile, Station Wagon",947697
Other,947697
Other,947697
Motorcycle,923419
"Automobile, Station Wagon",923419
Other,932873
"Automobile, Station Wagon",932873
Bicycle,932873
"Automobile, Station Wagon",923341
Other,923341
"Automobile, Station Wagon",919517
Other,919517
Other,919520
"Automobile, Station Wagon",919520
Other,919520
"Automobile, Station Wagon",936265
Other,936265
"Automobile, Station Wagon",884090
"Automobile, Station Wagon",885782
Other,923585
Other,904441
"Automobile, Station Wagon",887637
Other,901809
"Automobile, Station Wagon",892913
Motorcycle,919681
"Automobile, Station Wagon",904441
Other,885782
"Automobile, Station Wagon",906767
Other,887637
"Automobile, Station Wagon",882079
"Automobile, Station Wagon",901809
"Automobile, Station Wagon",882079
Other,906767
Other,892913
"Automobile, Station Wagon",891027
"Automobile, Station Wagon",905909
"Automobile, Station Wagon",919681
Other,897916
"Automobile, Station Wagon",882024
Other,882024
"Automobile, Station Wagon",882024
"Automobile, Station Wagon",887568
Passenger Van,887568
Passenger Van,887568
Passenger Van,887568
Other,882497
Other,882497
Other,882497
Other,882497
"Automobile, Station Wagon",882497
Other,882497
Other,882174
"Automobile, Station Wagon",882174
Other,882174
Municipal Transit Bus (TTC),886039
Municipal Transit Bus (TTC),886039
Municipal Transit Bus (TTC),886039
"Automobile, Station Wagon",884135
"Automobile, Station Wagon",884135
Other,882501
Other,882501
Other,882501
Other,882501
"Automobile, Station Wagon",882501
Other,882501
Other,882912
"Automobile, Station Wagon",882912
Other,882912
"Automobile, Station Wagon",886573
Other,886573
"Automobile, Station Wagon",886552
Other,886552
"Automobile, Station Wagon",887039
Other,887039
"Automobile, Station Wagon",886747
Other,886747
Other,892999
"Automobile, Station Wagon",892999
Other,892999
"Automobile, Station Wagon",886230
Other,886230
Other,886230
Other,884310
Other,884310
"Automobile, Station Wagon",884310
Other,884326
Other,884326
"Automobile, Station Wagon",884326
Other,884560
Other,884560
"Automobile, Station Wagon",884560
"Automobile, Station Wagon",884560
Other,884756
"Automobile, Station Wagon",884756
Other,884756
Other,884714
"Automobile, Station Wagon",884714
Other,884714
"Automobile, Station Wagon",884714
"Automobile, Station Wagon",884714
Other,884714
Other,887237
"Automobile, Station Wagon",887237
"Automobile, Station Wagon",887237
Taxi,887237
Other,887237
Other,890325
"Automobile, Station Wagon",890325
Other,890325
"Automobile, Station Wagon",885650
Other,885650
"Automobile, Station Wagon",889323
Other,889323
Other,889773
"Automobile, Station Wagon",889773
Other,889773
Municipal Transit Bus (TTC),889773
"Automobile, Station Wagon",889954
Other,889954
"Automobile, Station Wagon",893251
Other,897916
Other,919684
Other,907009
Other,905909
Bicycle,891027
"Automobile, Station Wagon",897916
Other,893251
Municipal Transit Bus (TTC),907009
"Automobile, Station Wagon",919684
"Automobile, Station Wagon",897916
"Automobile, Station Wagon",888108
Other,896606
Other,901382
Other,907009
Other,919684
"Automobile, Station Wagon",888108
"Automobile, Station Wagon",901382
Other,896606
Other,897916
"Automobile, Station Wagon",919684
Municipal Transit Bus (TTC),897916
"Automobile, Station Wagon",888108
Other,896606
"Automobile, Station Wagon",901382
Other,919684
"Automobile, Station Wagon",911791
"Automobile, Station Wagon",896606
"Automobile, Station Wagon",906284
"Automobile, Station Wagon",919684
"Automobile, Station Wagon",902163
"Automobile, Station Wagon",888108
"Automobile, Station Wagon",896606
Other,919684
"Automobile, Station Wagon",919684
Other,919684
"Automobile, Station Wagon",920271
Other,920271
Other,920271
"Automobile, Station Wagon",920271
Other,923640
Other,923640
"Automobile, Station Wagon",923640
Other,923640
Bicycle,911791
Other,923640
"Automobile, Station Wagon",923655
Other,923655
"Automobile, Station Wagon",923655
"Automobile, Station Wagon",920395
Other,920395
Motorcycle,925640
Motorcycle,925640
Delivery Van,925640
Other,920502
"Automobile, Station Wagon",920502
"Automobile, Station Wagon",920502
"Automobile, Station Wagon",924041
Other,924041
"Automobile, Station Wagon",924064
Other,924064
Other,920690
Motorcycle,920690
Other,921084
"Automobile, Station Wagon",921084
Motorcycle,926117
"Automobile, Station Wagon",926117
"Automobile, Station Wagon",925202
Other,925202
Motorcycle,926125
"Automobile, Station Wagon",926125
"Automobile, Station Wagon",925966
Bicycle,925966
"Automobile, Station Wagon",925968
Other,925968
"Automobile, Station Wagon",946225
Motorcycle,946225
"Automobile, Station Wagon",925963
Bicycle,925963
Other,921907
Other,921907
Other,921907
"Automobile, Station Wagon",921907
"Automobile, Station Wagon",921910
Other,921910
"Automobile, Station Wagon",921910
Other,927513
"Automobile, Station Wagon",927513
Other,927513
Other,927513
"Automobile, Station Wagon",927585
Other,927585
"Automobile, Station Wagon",927585
Other,922379
"Automobile, Station Wagon",922379
"Automobile, Station Wagon",922379
Other,922379
"Automobile, Station Wagon",922379
"Automobile, Station Wagon",927745
Other,927745
Other,927745
Other,922913
Other,922913
Municipal Transit Bus (TTC),922913
Other,922913
"Automobile, Station Wagon",927891
"Automobile, Station Wagon",927891
Other,922947
Other,922947
Other,922947
"Automobile, Station Wagon",922947
Other,922947
Other,922948
Other,922948
Truck - Open,922948
Other,922948
"Automobile, Station Wagon",922948
Other,928049
Other,902163
Other,906284
Other,896606
"Automobile, Station Wagon",888108
Other,898340
"Automobile, Station Wagon",896606
"Automobile, Station Wagon",888108
Other,891189
"Automobile, Station Wagon",891189
Other,891189
"Automobile, Station Wagon",891189
Other,891189
Other,891189
Other,888231
Other,888231
"Automobile, Station Wagon",888231
Other,891178
"Automobile, Station Wagon",891178
Other,906284
Other,909380
"Automobile, Station Wagon",891178
"Automobile, Station Wagon",891178
"Automobile, Station Wagon",891178
"Automobile, Station Wagon",891178
Other,888497
Other,888497
Other,888497
"Automobile, Station Wagon",888639
Other,888639
Other,891641
"Automobile, Station Wagon",891641
Other,891641
"Automobile, Station Wagon",893071
Other,893071
Other,893365
"Automobile, Station Wagon",893365
Other,889218
"Automobile, Station Wagon",889218
Other,889218
"Automobile, Station Wagon",890516
Other,890516
Other,893520
"Automobile, Station Wagon",893520
"Automobile, Station Wagon",893520
Other,893539
"Automobile, Station Wagon",893539
Other,890040
"Automobile, Station Wagon",890040
Other,890040
Other,890213
"Automobile, Station Wagon",890213
Other,890213
Other,910787
Other,910787
"Automobile, Station Wagon",910787
Other,910787
Other,910787
Other,890220
Other,890220
Other,890220
Other,890220
Other,890220
"Automobile, Station Wagon",890220
Other,890506
"Automobile, Station Wagon",890506
Other,890506
"Automobile, Station Wagon",894467
Other,894467
Other,893580
Municipal Transit Bus (TTC),893580
